column,dtype,missing_pct
category_2014_2020,string,1
country,object,0
country_year,object,0
emp_rate,Float64,0.7648241206
erdf_eur,Int64,0
erdf_eur_pc,float64,0.8054648241
erdf_eur_pc_f1,float64,0.8054648241
erdf_eur_pc_f2,float64,0.8054648241
erdf_eur_pc_l1,float64,0.8230527638
erdf_eur_pc_l2,float64,0.8405778894
erdf_eur_pc_l3,float64,0.8592964824
erdf_k_eur_pc_l1,float64,0.8230527638
gdp_eur,Float64,0.8202889447
gdp_mio_eur,Float64,0.8202889447
gdp_pc,float64,0.8587311558
gdp_pc_growth,float64,0.8769472362
gva,Float64,0.8522613065
log_gdp_pc,float64,0.8587311558
log_gdp_pc_l1,float64,0.8587311558
nuts2_id,object,0
population,Float64,0.8054648241
rd_gerd,Float64,0.8548994975
tertiary_share_25_64,Float64,0.7655778894
unemp_rate,Float64,0.7670854271
year,int64,0
